text_a,Target,label
RT GunnJessica Because I want young American women to be able to be proud of the 1st woman president,Hillary Clinton,2
Chris_1791 newsbusters 2 years ago Hillary never answered whether she used private email Liberal media passed on reporting,Hillary Clinton,0
"dnewhauser take that, Marco Rubio. GOP cannot pander to the Latino vote while pushing policies that hurt the community most.",Hillary Clinton,1
StateDept AmbCathyRussell AdamSmith_USA HillaryClinton HillaryforIA BarackObama The whole world is supporting you.,Hillary Clinton,2
Lets remember dickcheney is an unindicted war criminal before we start yelling Benghazi day after day. Will we ever see justice?,Hillary Clinton,1
"Although I certainly have disagreements, after reading about GovernorOMalley I much rather have him than HillaryClinton.",Hillary Clinton,0
Human rights are women is rights and women is rights are human rights. Hillary Clinton,Hillary Clinton,2
"Would you want to be in a long term relationship with some bitch that hides her emails, & lies to your face? Then Dontvote",Hillary Clinton,0
Bill Clinton just wants to be the first dude to be President and bang one.,Hillary Clinton,1
HuffPostPol If HillaryClinton can do half of what he did then she would be doing is a favor,Hillary Clinton,2
"I have made my decision, to the shock of no one probably, who I am supporting",Hillary Clinton,1
Didn t realize Bob Dole was mentioned in Tupac is How do you want it YesterdaysLeaders,Hillary Clinton,1
If I run for office this will be my original logo am libertynothillary HillNo tcot UniteBlue,Hillary Clinton,0
I will be there when your little tree has run out of smell. ThatChampion,Hillary Clinton,1
crazy to think next up for the Oval Office is either going to be Hillary or a Republican,Hillary Clinton,0
NACLA BrasilWire same old s**t OBAMA Who ?? BarackObama ?? Are you joking? StopDilma StopLula StopForodeSaoPaulo,Hillary Clinton,1
CheekyGent ChuckCJohnson Hey Hillary is on her to way to buy votes too! HillarySoOld,Hillary Clinton,0
"RT NicolaSturgeon It is official Hillary is running for president, says her campaign chief. Excellent!",Hillary Clinton,2
Only in a SEXIST AS fuck world would we question the qualifications of a former SECRETARY OF STATE.,Hillary Clinton,2
ChrisChristie could t run his way out of a paper bag let alone beat HillaryClinton. Go home Chris you are drunk. ChrisChristie,Hillary Clinton,2
ReformedBroker to the honies gittin money playing bleep words like dummies POPPA,Hillary Clinton,1
Forgive CherylRios of her stupid comments about women being president. She will blame it on that time of the month anyways.,Hillary Clinton,1
Low key it would be interesting to have a female president.,Hillary Clinton,2
"seanhannity we lost 4, 000 of our Military boys when your President pulled out of Iraq. LiberalConsequences",Hillary Clinton,0
. EthanObama I know it is just going to be a long year!,Hillary Clinton,1
"Technically, a president with raging hormones could refer to estrogen, testosterone or anabolic steroids IBlamePublicSchools",Hillary Clinton,0
Does Hillary really need to run this country? Could we just make her president of the Bingo club at Shady Pines? tcot p2,Hillary Clinton,0
laughing out loud why do so many people around here hate Hillary?,Hillary Clinton,2
"HillaryClinton is at the top, and has spent her whole career growing government, keeping the deck stacked. LibertyNotHillary",Hillary Clinton,0
"Problem with libertarian is it is not even a decreed party. A house divided against itself, will not stand. think this news to",Hillary Clinton,1
HillaryClinton i am portuguese and i support your campaign! Best luck! The world need a person and a women like you! USA,Hillary Clinton,2
Hillary Clinton for Ambassador to ISIS.,Hillary Clinton,0
"So when all you brave patriots stop Hillary, who you going to replace her with, Jeb Bush? laughing out loud. losers",Hillary Clinton,2
I am a woman. Can I be President? StopHillaryPAC,Hillary Clinton,0
This is not her first time at the rodeo! HillaryClinton does t care who likes her or not This woman is on a mission Tough,Hillary Clinton,2
lajouetreine KarrattiPaul I am not a Genitalian,Hillary Clinton,1
Wondering what the NEXT idiotic GOP smear against HillaryClinton will be. It is coming for sure. Just denial of normal t know details yet.,Hillary Clinton,2
Hillary is killing it so far on the trail. She is finally showing her personal side and I think it will benefit her profoundly.,Hillary Clinton,2
Do we call Bill Mr President ... the first 1st man of Or mr president the 1st man? laughing out loud imreadyforhillary,Hillary Clinton,2
. gailtalk trscoop Of course it was. She will be handled every step of the way. They can t risk her unscripted.,Hillary Clinton,0
I just want my dog to stop eating the trash,Hillary Clinton,1
thehill evanperez are you kidding me ... leave her to focus on issues ... the next prez,Hillary Clinton,2
Congratulations HillaryClinton on entering the 2016 race for President! You have the support of Jews all over the world!,Hillary Clinton,2
"HillaryClinton had more twitter followers then all four major Republican candidates Bush, Rubio, Paul, Cruz COMBINED.",Hillary Clinton,2
HillaryClinton has yet to release ClintonFdn donors ... Public deserves disclosure. Scandals lies clinton,Hillary Clinton,0
I want to go back in time to when men and women could t appear in the same yearbook as each other old school,Hillary Clinton,1
RT hale_razor HillaryAccomplishments 1 of select few people fired 4 being 2 unethical 2 investigate Watergate,Hillary Clinton,0
How can she live with herself? Benghazi,Hillary Clinton,0
Marriage equality a constitutional right! woohoo HRC2016 hillaryclinton readyforhillary vote hillaryfor2016 mpotus,Hillary Clinton,2
Hillary needs to go to a Sheetz gas station after 10 pm to see the real America.,Hillary Clinton,0
Hillary is campaign events are scripted dog & pony shows designed to shelter her from vetting before the coronation,Hillary Clinton,0
"Yes, do tell US, name one of her accomplishments",Hillary Clinton,0
"Apparently, putting cocaine in someone is butthole and then waiting for them to fart in your face is the wrong way to get high.",Hillary Clinton,1
Why is Hillary lying AGAIN about something news worthy? What is news worthy is if she does t lie about something,Hillary Clinton,0
Chipotle employees should t complain Hillary left nothing in the tip jar. They reply lucky she didn t dip in and help herself,Hillary Clinton,0
"Bluesaloon Women are not a demographic, we are at least 50 of the nation. So a woman is no more symbolic than a man",Hillary Clinton,1
Sending you gay bear love from Chicago HillaryClinton HillaryMyPresident,Hillary Clinton,2
I love the smell of Hillary in the morning. It smells like Republican Victory. TedCruz2016 MarcoRubio,Hillary Clinton,0
ProBirdRights I do a stump speech. It on the stump in the park. attendance mandatory.,Hillary Clinton,1
I d still rather have Aaron Hernandez as President than Hillary.,Hillary Clinton,0
JSavoly tedcruz Here yeah go teddy boy .. the world is getting HOTTER !! It is called GLOBAL WARMING !! You reply such a PUTZ !!,Hillary Clinton,1
JusticeWillett at least he has a platform,Hillary Clinton,1
"Because I am against common core, common crooks and common lies! NoHillary2016 StopHillaryClinton2016 WhyImNotVotingForHillary",Hillary Clinton,0
I would laughing my a** off if some negro Democrat decides to run for President. HillaryClinton2016 HillarysBigAnnouncement HillarysDonors,Hillary Clinton,0
"senna1 KirillWasHere how many men are getting their dicks sucked daily in congress, etc and no one gives a shit ...",Hillary Clinton,1
"You can t grow an economy from the bottom up. If she gets in, we reply ALL in trouble",Hillary Clinton,0
HillaryClinton Stop raising taxes and let people keep more of their wages! LibertyNotHillary StandWithRand,Hillary Clinton,0
"theblaze If you think Hillary isn t taking foreign money from Muslim brotherhood, you probably favor Obama as chief justice",Hillary Clinton,0
"3. Fixing America is political system by getting rid of unaccountable money, and 4. Protecting the country.",Hillary Clinton,1
